user_id,state,city,country,total_transactions,total_spent,avg_order_value,total_sessions,converted_sessions,avg_session_duration_sec,total_products_viewed,conversion_rate,engagement_score,predicted_future_value,total_clv,customer_segment
user_000066,WA,Danielbury,UY,6,5326.0,887.67,10,4,1510.8,39,40.0,5.08,2254.68,7580.68,High Value
user_000098,ID,Waltersshire,GE,4,5619.17,1404.79,9,0,1876.111111111111,31,0.0,2.76,1938.61,7557.78,Medium Value
user_000113,WV,New Jeffreystad,FR,2,1595.37,797.69,6,0,1651.5,21,0.0,1.84,733.87,2329.24,Medium Value
user_000372,PW,Stanleymouth,BD,6,7320.22,1220.04,10,2,2016.9,31,20.0,4.06,2476.68,9796.9,Medium Value
user_000424,NJ,North Coryside,HN,6,7202.82,1200.47,9,2,1595.6666666666667,35,22.22,3.77,2262.89,9465.71,Medium Value
user_000577,NC,Maddenview,OM,3,5890.2,1963.4,4,1,2384.0,13,25.0,1.73,1698.34,7588.54,Medium Value
user_000708,AL,Lake Heidi,KG,5,6230.22,1246.04,15,1,1871.6,55,6.67,5.11,3183.63,9413.85,High Value
user_000289,HI,East Kathleen,SI,3,1099.93,366.64,3,1,2134.6666666666665,6,33.33,1.41,258.48,1358.41,Medium Value
user_000319,NY,Petermouth,NP,3,2003.24,667.75,14,2,2355.5,43,14.29,5.29,1766.2,3769.44,High Value
user_000445,OH,West Dorothy,DZ,7,7056.02,1008.0,10,5,2206.9,37,50.0,5.57,2807.28,9863.3,High Value
user_000794,NY,Nathanmouth,GR,7,4813.61,687.66,9,2,1748.111111111111,24,22.22,3.75,1289.36,6102.97,Medium Value
user_000339,OK,New Marcbury,ID,6,5008.68,834.78,4,3,1662.0,16,75.0,2.73,1139.47,6148.15,Medium Value
user_000821,PA,Aguilarchester,EC,2,2181.27,1090.64,1,1,3109.0,6,100.0,0.81,441.71,2622.98,Medium Value
user_000171,AZ,South Crystal,PE,5,4917.17,983.43,9,2,2098.777777777778,30,22.22,3.76,1848.85,6766.02,Medium Value
user_000182,FM,West Francis,MR,6,6409.76,1068.29,9,3,2327.1111111111113,25,33.33,4.25,2270.12,8679.88,Medium Value
user_000465,OR,West Raymondborough,KG,4,2621.29,655.32,11,4,1942.3636363636363,44,36.36,5.39,1766.09,4387.38,High Value
user_000534,IA,New Julianburgh,CH,8,10299.27,1287.41,12,5,1624.5,51,41.67,6.2,3990.97,14290.24,High Value
user_000706,TN,Josephstad,YE,2,2747.25,1373.63,7,1,2049.285714285714,26,14.29,2.65,1820.06,4567.31,Medium Value
user_000801,MD,Lucasville,MW,9,7445.79,827.31,16,6,1507.625,50,37.5,7.9,3267.87,10713.66,High Value
user_000984,MA,Taylorhaven,MZ,7,7017.06,1002.44,8,3,2337.75,25,37.5,3.95,1979.82,8996.88,Medium Value
user_000991,AK,Scottport,PT,6,5142.66,857.11,9,1,2186.8888888888887,23,11.11,3.25,1392.8,6535.46,Medium Value
